abbrev_source_title,abstract,address,affiliation,affiliations,art_number,author,author_keywords,chemicals_cas,coden,correspondence_address,correspondence_address1,document_type,doi,editor,funding_details,funding_text 1,funding_text 2,funding_text 3,isbn,issn,journal,keywords,language,note,number,page_count,pages,pmid,publication_stage,publisher,pubmed_id,references,source,sponsors,title,tradenames,url,volume,year,affiliation_,author_email,booktitle,da,doc_delivery_number,earlyaccessdate,eissn,funding_acknowledgement,funding_text,meeting,month,note_,number_of_cited_references,oa,orcid_numbers,organization,research_areas,researcherid_numbers,series,unique_id,usage_count_last_180_days,usage_count_since_2013,web_of_science_categories,web_of_science_index
Generos,"The Cisterns Program aims to mitigate drought impacts by strengthening the adaptive capacity of vulnerable inhabitants in Brazilian semiarid (BSA) regions. Cisterns promote farmers’ ability to adapt to climatic stresses in the long run. This article discusses the impacts of the Rainwater Harvesting Program (RHP) on the livelihoods of women in BSA regions. The policy implementation is assessed in terms of capacity building, social mobilization, and the construction of infrastructure that guarantees rainwater harvesting for human consumption and productive uses. Based on semistructured interviews in case studies in Paraíba, Pernambuco and Ceará States, this article discusses how the gender perspective can improve adaptive capacity. The results from the case studies indicate important changes in female autonomy and increased independence related to water access, resulting in extra time for women to dedicate to other activities, including education. Moreover, the availability of water for production strengthened productive capacity, leading to greater food security and well-being. Last, a sense of economic independence related to income generation from improved production capacity was also reported. © 2022 Hipatia Editorial. All rights reserved.",UNKNOW,"University of Brasilia, Center for Sustainable Development, Brazil; Wageningen University and Research, Public Administration and Policy Group, Brazil","University of Brasilia, Center for Sustainable Development, Brazil; Wageningen University and Research, Public Administration and Policy Group, Brazil",UNKNOW,"Nogueira, Daniela and Mesquita, Patricia and Cavalcante, Louise and Filho, Saulo Rodrigues and Saito, Carlos",adaptation; gender; wáter security,UNKNOW,UNKNOW,"D. Nogueira; University of Brasilia, Center for Sustainable Development, Brazil; email: danielanogueiracds@gmail.com",UNKNOW,Article,10.17583/generos.6673,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,20143613,Generos,UNKNOW,English,"Cited by: 3; All Open Access, Gold Open Access, Green Open Access",1,UNKNOW,72 – 97,UNKNOW,Final,Hipatia Editorial,UNKNOW,UNKNOW,Scopus,UNKNOW,Rainwater Harvesting as a Strategy for Adapting to Climate Change and Building Women’s Autonomy in Brazilian Semiarid Regions; [La Captación de Agua de Lluvia como estrategia de Adaptación al Cambio Climático y Construcción de la Autonomía de las Mujeres en el Semiárido Brasileño],UNKNOW,https://www.scopus.com/inward/record.uri?eid,11,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Sustainability,"Gender-specific perceptions and needs are critical to better understanding climate change adaptation capacities of local smallholder communities in Africa and elsewhere. As many rural agricultural practices are heavily impacted by male-centered traditional customs and mores, gender dimensions can determine the level of success for policy interventions. To better understand how and what gender dimensions can be important factors for farmer’s climate change adaptations, this study attempts to examine smallholder farmers’ adaptation needs and perspectives in Ghana’s Upper East Region. A focus group discussion and a questionnaire survey were conducted among 200 smallholder farmers. We found that the female respondents, who mostly belonged to low/middle-income groups, emphasized their urgent need for financial support to improve their income. They needed more farmland as 94% of them had only less than 5 acres to farm. In addition, 91% of the female respondents expressed the importance of being connected to farmers’ mutual-help groups to share information about common farming needs. We also found gender-specific needs for extension services, farm inputs, climate information, mechanization, and infrastructure. Regarding access to resources, the women respondents had little interest in investing more in farming as the land they borrowed could be taken away by male owners. The study recommends the need for gender-specific support initiatives that prioritize social protection and gender equality. © 2022 by the authors.",UNKNOW,"Life and Earth Sciences, Doctoral Program in Environmental Studies, University of Tsukuba, Tsukuba, 305-8577, Japan; Faculty of Life and Environmental Sciences, University of Tsukuba, Tsukuba, 305-8577, Japan","Life and Earth Sciences, Doctoral Program in Environmental Studies, University of Tsukuba, Tsukuba, 305-8577, Japan; Faculty of Life and Environmental Sciences, University of Tsukuba, Tsukuba, 305-8577, Japan",UNKNOW,"Nuhu, Mohammed Gali and Matsui, Kenichi",adaptation needs; climate change; gender; Ghana; smallholder farmers,UNKNOW,UNKNOW,"M.G. Nuhu; Life and Earth Sciences, Doctoral Program in Environmental Studies, University of Tsukuba, Tsukuba, 305-8577, Japan; email: s2030293@s.tsukuba.ac.jp",UNKNOW,Article,10.3390/su141610432,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,20711050,Sustainability (Switzerland),Ghana; Upper East Region; adaptation; climate change; gender; questionnaire survey; smallholder,English,"Cited by: 6; All Open Access, Gold Open Access",16,UNKNOW,UNKNOW,UNKNOW,Final,MDPI,UNKNOW,UNKNOW,Scopus,UNKNOW,Gender Dimensions of Climate Change Adaptation Needs for Smallholder Farmers in the Upper East Region of Ghana,UNKNOW,https://www.scopus.com/inward/record.uri?eid,14,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Environ. Ecol. Res.,"Traditional studies have predominantly focused on assessing the vulnerability of agricultural communities to climate change impacts, neglecting the examination of their resilience in relation to gender, social status, and ethnicity. This study aims to fill these gaps by employing the Livelihood Subjective Resilience (LSR) framework to measure household resilience and conducting a comprehensive analysis of the intersectionality across these dimensions. The research focuses on a sample of 188 ethnic minority households (94 Tà Ôi and 94 Pa Cô) in upland regions of Thua Thien Hue province, Vietnam. Findings reveal significant variations in resilience among these groups, particularly with lower LSR scores observed among women and the poor. Notably, poor women from Pa Cô ethnic households exhibit the most fragile resilience compared to other segments of society. This disparity is influenced by multifaceted ingredients including limited financial resources, restricted asset portfolios, patriarchal social norms, and psychological issues. The study thus emphasizes the need for targeted interventions to enhance the roles and rights of marginalized groups, particularly in terms of equitable access to resources like land tenure. Addressing poverty and inequality should be the most priority for achieving economic rural development, disaster preparedness, and resilience capacity building. The study highlights the importance of tailored training programs and non-refundable livelihood support to improve overall well-being and uplift disadvantaged groups. By combining these initiatives, a more inclusive approach to climate change resilience can be fostered, ensuring that no one is left behind. © 2023 by authors, all rights reserved.",UNKNOW,"Hue University of Agriculture and Forestry, Hue University, Viet Nam; Graduate School of Environmental and Life Science, Okayama University, Japan","Hue University of Agriculture and Forestry, Hue University, Viet Nam; Graduate School of Environmental and Life Science, Okayama University, Japan",UNKNOW,"Ha, Hoang Dung and Tan, Nguyen Quang and Thang, Tran Nam and Que, Hoang Thi Hong and van Tuyen, Truong",Climate Change; Ethnic Minority; Gender; Livelihood Resilience; Vietnam,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Article,10.13189/eer.2023.110410,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,2331625X,Environment and Ecology Research,UNKNOW,English,"Cited by: 3; All Open Access, Gold Open Access",4,UNKNOW,630 – 646,UNKNOW,Final,Horizon Research Publishing,UNKNOW,UNKNOW,Scopus,UNKNOW,"Towards Inclusive Resilience: Understanding the Intersectionality of Gender, Ethnicity, and Livelihoods in Climate-prone Upland Areas of Central Vietnam",UNKNOW,https://www.scopus.com/inward/record.uri?eid,11,2023,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Clim. Dev.,"Rural women’s contribution to reacting to climate change is highly significant but has been largely marginalized due to gender roles. This gender discrimination makes them more vulnerable to a variety of threats. Therefore, the purpose of this study was to examine the behaviour of female rice farmers in Mazandaran Province, in northern Iran, toward climate change adaptation using protection motivation theory (PMT). 173 female heads of households’ rice farmers in Mazandaran Province were selected through stratified random sampling. According to the findings, the perceived vulnerability (β",UNKNOW,"Department of Economics, Agricultural Extension and Education, Islamic Azad University, Tehran, Iran; Faculty of Agricultural Sciences and Food-Skopje, Ss. Cyril and Methodius University in Skopje, Skopje, North Macedonia; Institute of Agricultural and Environmental Sciences, Chair of Rural Economics, Estonian University of Life Sciences, Tartu, Estonia; Department of Economics and Rural Development, Gembloux Agro-Bio Tech, University of Liège, Gembloux, Belgium; Faculty of Environmental Sciences, Czech University of Life Sciences Prague, Prague, Czech Republic; Department of Geography, Ghent University, Ghent, Belgium","Department of Economics, Agricultural Extension and Education, Islamic Azad University, Tehran, Iran; Faculty of Agricultural Sciences and Food-Skopje, Ss. Cyril and Methodius University in Skopje, Skopje, North Macedonia; Institute of Agricultural and Environmental Sciences, Chair of Rural Economics, Estonian University of Life Sciences, Tartu, Estonia; Department of Economics and Rural Development, Gembloux Agro-Bio Tech, University of Liège, Gembloux, Belgium; Faculty of Environmental Sciences, Czech University of Life Sciences Prague, Prague, Czech Republic; Department of Geography, Ghent University, Ghent, Belgium",UNKNOW,"Goli, Imaneh and Omidi Najaf Abadi, Maryam and Lashgarara, Farhad and Tanaskovik, Vjekoslav and Chukaliev, Ordan and Viira, Ants-Hannes and Pour, Mahdad and Sklenička, Petr and Janečková, Kristina and Azadi, Hossein",agriculture; climate adaptation; Female paddy farmer; gender inequality; protection motivation theory (PMT); vulnerability,UNKNOW,UNKNOW,"M. Omidi Najaf Abadi; Department of Economics, Agricultural Extension and Education, Islamic Azad University, Tehran Science and Research Branch, Tehran, Iran; email: m.omidi@srbiau.ac.ir; H. Azadi; Department of Geography, Ghent University, Ghent, 9000, Belgium; email: hossein.azadi@ugent.be",UNKNOW,Article,10.1080/17565529.2022.2121597,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,17565529,Climate and Development,Iran; Mazandaran; adaptive management; climate change; food security; gender discrimination; gender role; vulnerability,English,Cited by: 3,6,UNKNOW,535 – 552,UNKNOW,Final,Taylor and Francis Ltd.,UNKNOW,UNKNOW,Scopus,UNKNOW,Women and climate change adaptation behaviour: What’s the problem and solution?,UNKNOW,https://www.scopus.com/inward/record.uri?eid,15,2023,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Manage. Environ. Qual.,"Purpose: This study documented adaptation strategies employed by rural women in Vhembe district as they reel with climate change impacts. Women are heavily plagued by climate change impacts than any other genders worldwide. This is attributed to their high dependence on the natural resources for survival, low adaptive capacity, illiteracy, social ascribed roles that limit their participation in climate change initiatives like men and high poverty levels. Despite the daunting fact of women's vulnerability to climate change and its vagary impacts, women are agents of social change who have not remained passive victims to climate change and its impacts. Design/methodology/approach: This study adopted a qualitative methodology guided by multi-case study design. A sample of 25 participants was selected through simple random and purposive sampling techniques. Data were collected using Focus Group Discussions and individual interviews and analysed thematically. Rural women and traditional leaders served as key informants and participated in the study. Findings: The study established that the effects of climate change on rural women are real; however, there is a cocktail of strategies employed by women in Vhembe district in response to these effects. The strategies include livelihood and crop diversification, use of indigenous knowledge systems and harnessing of social capital among other household-based adaptation strategies. Originality/value: The study recommends that the best way of assisting rural women in adapting to climate change is through the amelioration of poverty, enhancing capacity building for women and elimination of all systems that serve as barriers to effective adaptation. © 2022, Emerald Publishing Limited.",UNKNOW,"Unit of Institutional Change and Social Justice, University of Free State, Bloemfontein, South Africa; Department of Research Administration and Development, University of Limpopo, Polokwane, South Africa","Unit of Institutional Change and Social Justice, University of Free State, Bloemfontein, South Africa; Department of Research Administration and Development, University of Limpopo, Polokwane, South Africa",UNKNOW,"Nyahunda, Louis and Tirivangasi, Happy Mathew",Climate change adaptation; Rural women; Strategies; Vhembe district,UNKNOW,UNKNOW,"H.M. Tirivangasi; Unit of Institutional Change and Social Justice, University of Free State, Bloemfontein, South Africa; email: mathewtirivangasi@gmail.com",UNKNOW,Article,10.1108/MEQ-09-2021-0207,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,14777835,Management of Environmental Quality: An International Journal,Limpopo; South Africa; Vhembe; adaptive management; climate change; climate effect; participatory approach; poverty alleviation; strategic approach; womens status,English,Cited by: 6,4,UNKNOW,1061 – 1075,UNKNOW,Final,Emerald Group Holdings Ltd.,UNKNOW,UNKNOW,Scopus,UNKNOW,"Adaptation strategies employed by rural women in the face of climate change impacts in Vhembe district, Limpopo province, South Africa",UNKNOW,https://www.scopus.com/inward/record.uri?eid,33,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Environ. Sci. Policy,"Feminist decolonial scholars have called for disengaging from the current system built on a hierarchical logic of race and gender central to modern, colonial thinking. They have looked to worlds outside the modern system to lead us out of current unjust practices harming both humans and the environment. Although policymaking may be seen as the stronghold of the current political agenda and of the structures that have led to the climate crisis, we argue that climate policies too, are also crucial for rethinking and transforming societies. Our examination of climate adaptation policies in Sweden and the literature from Europe shows how policy documents ignore and unknow the oppressive intersections of gender and power despite the knowledge that exists on these issues in the public domain. Drawing on the tools of agnotology, we examine how this is achieved by strategies of ‘denial, dismissal, diversion and displacement.’ Building on feminist post and decolonial scholarship, we make explicit the gendered and racial hierarchies and dichotomies underpinning these policy documents. At the same time, we bring attention to the nuances in the policy documents we study and look for the openings that might be used to bring about transformation by making these hierarchies explicit and calling them into question. We argue that a transformation is possible through a feminist post and decolonial intervention, even in policymaking otherwise ignorant of culture, values and the colonial histories that have produced contemporary society. © 2023 The Authors",UNKNOW,"Department of Urban and Rural Development, Swedish University of Agricultural Sciences, Uppsala, Sweden","Department of Urban and Rural Development, Swedish University of Agricultural Sciences, Uppsala, Sweden",UNKNOW,"Arora-Jonsson, Seema and Wahlström, Nora",Agnotology; Climate adaptation; Construction of ignorance; Feminist decolonial thinking; Policymaking; Sweden,UNKNOW,ESCPF,"S. Arora-Jonsson; Department of Urban and Rural Development, Swedish University of Agricultural Sciences, Uppsala, Sweden; email: Seema.Arora.Jonsson@slu.se",UNKNOW,Article,10.1016/j.envsci.2023.103564,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,14629011,Environmental Science and Policy,Sweden; adaptive management; decolonization; environmental policy; feminism; policy making; race; article; attention; climate; drawing; Europe; female; feminism; gender; human; human experiment; male; Sweden; thinking,English,"Cited by: 4; All Open Access, Hybrid Gold Open Access",UNKNOW,UNKNOW,UNKNOW,UNKNOW,Final,Elsevier Ltd,UNKNOW,UNKNOW,Scopus,UNKNOW,Unraveling the production of ignorance in climate policymaking: The imperative of a decolonial feminist intervention for transformation,UNKNOW,https://www.scopus.com/inward/record.uri?eid,149,2023,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Front. Sustain. food Syst.,"The water, energy, land and food (WELF) nexus has been touted as a cross-sectoral systems approach that presents an opportunity to address the grand challenges related to poverty, unemployment, inequality and climate change, especially in the global South. However, as with any other developmental approach, the WELF nexus needs to mainstream gender, which often lies at the heart of poverty, unemployment, and inequality in sub-Saharan Africa. Access to water, energy, land and food is gendered, and so are livelihood strategies and climate change responses. Inequitable access to these resources, gender inequalities, socio-economic vulnerability and cultural norms contribute to women's susceptibility to the impacts of climate change and limit their ability to harness opportunities arising from it. Reducing women's vulnerability to the impacts of climate change in SSA and improving equity in natural resource access and resource use efficiencies will require transformation of gender relations and the active participation of both men and women in decision-making processes. Moreover, policies and interventions that cater to the WELF nexus need be updated to be more gender-aware and sensitive, as this will also contribute to addressing Sustainable Development Goal 5, in addition to Goals 1, 2, 6, 7, and 15. Copyright © 2022 Hlahla.",UNKNOW,"Centre for Transformative Agricultural and Food Systems, School of Agricultural, Earth and Environmental Sciences, College of Agriculture, Engineering, and Science, University of KwaZulu-Natal, Pietermaritzburg, South Africa; Future Water Research Institute, University of Cape Town, Cape Town, South Africa","Centre for Transformative Agricultural and Food Systems, School of Agricultural, Earth and Environmental Sciences, College of Agriculture, Engineering, and Science, University of KwaZulu-Natal, Pietermaritzburg, South Africa; Future Water Research Institute, University of Cape Town, Cape Town, South Africa",UNKNOW,"Hlahla, Sithabile",climate change adaptation; gender-responsive planning; livelihoods; natural resource access; poverty alleviation,UNKNOW,UNKNOW,"S. Hlahla; Centre for Transformative Agricultural and Food Systems, School of Agricultural, Earth and Environmental Sciences, College of Agriculture, Engineering, and Science, University of KwaZulu-Natal, Pietermaritzburg, South Africa; email: HlahlaS@ukzn.ac.za",UNKNOW,Review,10.3389/fsufs.2022.719913,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,2571581X,Frontiers in Sustainable Food Systems,UNKNOW,English,"Cited by: 7; All Open Access, Gold Open Access",UNKNOW,UNKNOW,UNKNOW,UNKNOW,Final,Frontiers Media S.A.,UNKNOW,UNKNOW,Scopus,UNKNOW,"Gender perspectives of the water, energy, land, and food security nexus in sub-Saharan Africa",UNKNOW,https://www.scopus.com/inward/record.uri?eid,6,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Front. Public Health,"Background: The expected increase in heat in The Gambia is one of the most significant health threats caused by climate change. However, little is known about the gendered dynamics of exposure and response to heat stress, including women's perceived health risks, their adaptation strategies to heat, and their perceptions of climate change. This research project aims to answer the question of whether and how pregnant farmers in The Gambia perceive and act upon occupational heat stress and its health impacts on both themselves and their unborn children, against the backdrop of current and expected climatic changes. Method: In-depth semi-structured interviews were conducted with 12 women who practice subsistence farming and were either pregnant or had delivered within the past month in West Kiang, The Gambia. Participants were selected using purposive sampling. Translated interview transcripts were coded and qualitative thematic content analysis with an intersectional lens was used to arrive at the results. Results: All women who participated in the study experience significant heat stress while working outdoors during pregnancy, with symptoms often including headache, dizziness, nausea, and chills. The most common adaptive techniques included resting in the shade while working, completing their work in multiple shorter time increments, taking medicine to reduce symptoms like headache, using water to cool down, and reducing the amount of area they cultivate. Layered identities, experiences, and household power structures related to age, migration, marital situation, socioeconomic status, and supportive social relationships shaped the extent to which women were able to prevent and reduce the effects of heat exposure during their work whilst pregnant. Women who participated in this study demonstrated high awareness of climate change and offered important insights into potential values, priorities, and mechanisms to enable effective adaptation. Conclusion: Our findings reveal many intersecting social and economic factors that shape the space within which women can make decisions and take adaptive action to reduce the impact of heat during their pregnancy. To improve the health of pregnant working women exposed to heat, these intersectionalities must be considered when supporting women to adapt their working practices and cope with heat stress. Copyright © 2022 Spencer, Samateh, Wabnitz, Mayhew, Allen and Bonell.",UNKNOW,"Medical Research Council Unit, London School of Hygiene and Tropical Medicine, Banjul, Gambia; Chair for Public Health and Health Services Research, Institute for Medical Information Processing, Biometry and Epidemiology (IBE), Ludwig-Maximilians-Universität München, Munich, Germany; School of Hygiene and Tropical Medicine, Faculty of Public Health and Policy, University of London, London, London, United Kingdom; Centre on Climate Change and Planetary Health, London School of Hygiene and Tropical Medicine, University of London, London, United Kingdom","Medical Research Council Unit, London School of Hygiene and Tropical Medicine, Banjul, Gambia; Chair for Public Health and Health Services Research, Institute for Medical Information Processing, Biometry and Epidemiology (IBE), Ludwig-Maximilians-Universität München, Munich, Germany; School of Hygiene and Tropical Medicine, Faculty of Public Health and Policy, University of London, London, London, United Kingdom; Centre on Climate Change and Planetary Health, London School of Hygiene and Tropical Medicine, University of London, London, United Kingdom",UNKNOW,"Spencer, Shantelle and Samateh, Tida and Wabnitz, Katharina and Mayhew, Susannah and Allen, Haddijatou and Bonell, Ana",climate adaptation; climate change; health; occupational heat stress; The Gambia; women,UNKNOW,UNKNOW,"A. Bonell; Medical Research Council Unit, London School of Hygiene and Tropical Medicine, Banjul, Gambia; email: ana.bonell@lshtm.ac.uk",UNKNOW,Article,10.3389/fpubh.2022.785254,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,22962565,Frontiers in Public Health,Agriculture; Climate Change; Farmers; Female; Gambia; Headache; Humans; Male; Pregnancy; agricultural worker; agriculture; climate change; female; Gambia; headache; human; male; pregnancy,English,"Cited by: 17; All Open Access, Gold Open Access",UNKNOW,UNKNOW,UNKNOW,35237548,Final,Frontiers Media S.A.,UNKNOW,UNKNOW,Scopus,UNKNOW,The Challenges of Working in the Heat Whilst Pregnant: Insights From Gambian Women Farmers in the Face of Climate Change,UNKNOW,https://www.scopus.com/inward/record.uri?eid,10,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Environ. Urban ASIA,"Urban people and places in the Global South suffer greatly from persistent and extreme climatic events. Within the disadvantaged groups adversely affected by climate risks, women are disproportionately exposed, have higher levels of vulnerability and typically suffer the impacts because of cultural norms and their reproductive and productive roles. Although women play an important role in their family and community, they are generally ignored in climate change planning. This paper examines floods and flood-related impacts on urban women in Ho Chi Minh City, Vietnam, to demonstrate how women are vulnerable, as well as their responses and resilience to shocks and stress caused by current flood risks within their communities. Data were collected through in-depth case studies applying qualitative methods (observation and semi-structured interviews). The results illustrate that women are less resilient as they have less access to resources and limited support for incremental livelihood improvement. The opportunities to participate in adaptation planning are limited for women. The findings demonstrate that gender inequality still remains, although women could play an active and critical role in adaptation programmes. In order to enhance women’s resilience to climatic hazards, the paper argues that urban policy planning should empower women too in the decision-making process and promote diversified resources to strengthen their resilience to climatic hazards. © 2023 National Institute of Urban Affairs (NIUA).",UNKNOW,"RMIT School of Global, Urban and Social Studies, Melbourne, Australia; Can Tho University, Can Tho, Viet Nam; College of Environment and Natural Resources, Can Tho University, Can Tho, Viet Nam","RMIT School of Global, Urban and Social Studies, Melbourne, Australia; Can Tho University, Can Tho, Viet Nam; College of Environment and Natural Resources, Can Tho University, Can Tho, Viet Nam",UNKNOW,"Tran, Hong Kim and Downes, Nigel K.",adaptation; climate change; flood risks; Gender impacts; Ho Chi Minh City; vulnerability,UNKNOW,UNKNOW,"H.K. Tran; RMIT School of Global, Urban and Social Studies, Melbourne, Australia; email: tkhong@ctu.edu.vn",UNKNOW,Article,10.1177/09754253231168693,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,09754253,Environment and Urbanization ASIA,Ho Chi Minh City; Viet Nam; adaptive management; climate change; flood; gender relations; risk factor; vulnerability; womens status,English,Cited by: 1,1,UNKNOW,90 – 103,UNKNOW,Final,Sage Publications India Pvt. Ltd,UNKNOW,UNKNOW,Scopus,UNKNOW,"Narratives of Women’s Resilience to Flood Risks in Ho Chi Minh City, Vietnam",UNKNOW,https://www.scopus.com/inward/record.uri?eid,14,2023,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Sustainability,"In contrast to the dominant ‘vulnerability narrative’ applied to studies of gender, age, and other intersectional characteristics in determining differentiated impacts of climate change, there is growing attention to the agency and voices of young people in the context of their development futures in a changing climate. This paper draws on Feminist Participatory Action Research undertaken by adolescent girls in Zambia and Zimbabwe. Centred on access to education, the findings prompt a reframing of youth agency and empowerment beyond instrumental concerns to integrate intrinsic factors that include self-fulfilment, recognition from others, status, and self-resilience. The research demonstrates how young people’s enquiry can help to surface the underlying structures of inequality shaping both their gendered experience of climate change and the response options available. Tackling structural issues may be beyond the conventional scope of climate change projects and policy, but gender and youth concerns require more than incremental changes. Rather, harnessing opportunities from low-carbon and climate-resilient futures requires understanding and tackling structural drivers of gender inequality that influence development opportunities for young people. © 2022 by the authors.",UNKNOW,"Centre for Development and Environment Policy, SOAS University of London, London, WC1H 0XG, United Kingdom; Harare, Zimbabwe; Lusaka, Zambia","Centre for Development and Environment Policy, SOAS University of London, London, WC1H 0XG, United Kingdom; Harare, Zimbabwe; Lusaka, Zambia",UNKNOW,"Tanner, Thomas and Mazingi, Lucy and Muyambwa, Darlington Farai",action research; adaptation; climate change; education; feminism; gender; resilience; Southern Africa; youth,UNKNOW,UNKNOW,"T. Tanner; Centre for Development and Environment Policy, SOAS University of London, London, WC1H 0XG, United Kingdom; email: tom.tanner@soas.ac.uk",UNKNOW,Article,10.3390/su14148797,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,20711050,Sustainability (Switzerland),Southern Africa; Zambia; Zimbabwe; adaptation; adolescence; climate change; education; feminism; gender; resilience,English,"Cited by: 3; All Open Access, Gold Open Access",14,UNKNOW,UNKNOW,UNKNOW,Final,MDPI,UNKNOW,UNKNOW,Scopus,UNKNOW,"Youth, Gender and Climate Resilience: Voices of Adolescent and Young Women in Southern Africa",UNKNOW,https://www.scopus.com/inward/record.uri?eid,14,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
